epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4419,1.00555,1.97018,0.89541,0.8235,0.92993,0.92975,0.73679,0.78302,0.89269,0.84891,0.000325,0.000325,0.000325
2,34.5907,0.83428,0.59727,0.85079,0.9593,0.97649,0.98868,0.76042,0.81148,0.62449,0.85395,0.000645298,0.000645298,0.000645298
3,51.917,0.82739,0.56719,0.84917,0.94051,0.95736,0.98622,0.78631,0.78923,0.71084,0.85,0.000952397,0.000952397,0.000952397
4,69.1446,0.82872,0.51711,0.85241,0.8876,0.91214,0.93223,0.75011,0.74052,0.57653,0.84298,0.0009406,0.0009406,0.0009406
5,86.5418,0.8154,0.47913,0.84657,0.94951,0.95304,0.99366,0.79181,0.76939,0.41262,0.84536,0.0009208,0.0009208,0.0009208
6,104.184,0.78469,0.45102,0.84227,0.98697,0.95916,0.99445,0.79716,0.76746,0.42445,0.85093,0.000901,0.000901,0.000901
7,122.008,0.79286,0.42572,0.84423,0.99859,0.9992,0.995,0.82751,0.68014,0.33177,0.82611,0.0008812,0.0008812,0.0008812
8,139.956,0.77198,0.4345,0.8424,0.99778,0.99613,0.995,0.83495,0.6602,0.32977,0.82535,0.0008614,0.0008614,0.0008614
9,158.129,0.78487,0.40818,0.84589,0.99899,0.99895,0.995,0.845,0.64463,0.31856,0.8196,0.0008416,0.0008416,0.0008416
10,176.369,0.76295,0.39222,0.83833,0.99875,0.9998,0.995,0.83278,0.66531,0.30568,0.82646,0.0008218,0.0008218,0.0008218
11,194.538,0.7514,0.37953,0.83654,0.99889,0.99904,0.995,0.83175,0.68545,0.3154,0.82796,0.000802,0.000802,0.000802
12,212.796,0.74375,0.38259,0.8379,0.92008,0.93799,0.94328,0.78495,0.67178,0.45015,0.82587,0.0007822,0.0007822,0.0007822
13,231.086,0.74465,0.40542,0.83688,0.98398,0.98644,0.99122,0.82905,0.67553,0.32393,0.8292,0.0007624,0.0007624,0.0007624
14,249.209,0.73594,0.3673,0.83663,0.99854,0.99987,0.995,0.83942,0.64578,0.29323,0.82269,0.0007426,0.0007426,0.0007426
15,267.431,0.73117,0.37079,0.83501,0.99846,1,0.995,0.83126,0.67093,0.29961,0.82658,0.0007228,0.0007228,0.0007228
16,285.717,0.72875,0.35921,0.83398,0.99914,0.99911,0.995,0.84803,0.64643,0.29052,0.82187,0.000703,0.000703,0.000703
17,304.516,0.72193,0.35202,0.83353,0.99904,0.99916,0.995,0.83836,0.66745,0.29673,0.82526,0.0006832,0.0006832,0.0006832
18,324.983,0.7315,0.35978,0.83542,0.99902,1,0.995,0.82982,0.68469,0.306,0.82768,0.0006634,0.0006634,0.0006634
19,343.977,0.71547,0.35408,0.83192,0.99866,1,0.995,0.8429,0.65965,0.30315,0.82297,0.0006436,0.0006436,0.0006436
20,362.632,0.71429,0.34724,0.83128,0.99923,1,0.995,0.84201,0.6681,0.29085,0.82645,0.0006238,0.0006238,0.0006238
21,381.215,0.70608,0.34283,0.83063,0.99862,1,0.995,0.84324,0.65773,0.29279,0.82473,0.000604,0.000604,0.000604
22,400.947,0.71283,0.34822,0.83133,0.99905,1,0.995,0.84059,0.66509,0.28631,0.82523,0.0005842,0.0005842,0.0005842
23,419.536,0.71557,0.34022,0.82999,0.99903,1,0.995,0.83355,0.69445,0.29309,0.83289,0.0005644,0.0005644,0.0005644
24,439.731,0.70037,0.32665,0.83056,0.99897,1,0.995,0.85403,0.63665,0.27247,0.82092,0.0005446,0.0005446,0.0005446
25,460.539,0.68885,0.32874,0.82628,0.9988,1,0.995,0.84511,0.6458,0.27538,0.82086,0.0005248,0.0005248,0.0005248
26,481.234,0.68424,0.3276,0.82793,0.99902,1,0.995,0.84578,0.6555,0.27925,0.82305,0.000505,0.000505,0.000505
27,501.966,0.67864,0.32866,0.82665,0.99905,1,0.995,0.84866,0.64419,0.27544,0.82205,0.0004852,0.0004852,0.0004852
28,522.721,0.68418,0.33288,0.82847,0.99901,1,0.995,0.83784,0.65069,0.27695,0.82175,0.0004654,0.0004654,0.0004654
29,543.536,0.67864,0.32175,0.8232,0.99936,1,0.995,0.85541,0.62842,0.2687,0.81748,0.0004456,0.0004456,0.0004456
30,564.282,0.67038,0.31092,0.82289,0.99936,1,0.995,0.85815,0.62489,0.26774,0.81758,0.0004258,0.0004258,0.0004258
31,585.17,0.66564,0.31095,0.82379,0.99922,1,0.995,0.84964,0.65039,0.27227,0.82135,0.000406,0.000406,0.000406
32,606.111,0.65957,0.30935,0.82553,0.999,1,0.995,0.84934,0.64682,0.27086,0.82039,0.0003862,0.0003862,0.0003862
33,626.865,0.6563,0.30707,0.82199,0.99929,1,0.995,0.85006,0.6461,0.26785,0.82192,0.0003664,0.0003664,0.0003664
34,647.683,0.64479,0.30168,0.8212,0.99929,0.99985,0.995,0.85027,0.64239,0.26993,0.82173,0.0003466,0.0003466,0.0003466
35,668.595,0.64445,0.30431,0.81865,0.99929,1,0.995,0.84501,0.66472,0.27142,0.82225,0.0003268,0.0003268,0.0003268
36,689.51,0.63295,0.29735,0.81919,0.99927,1,0.995,0.84725,0.66135,0.26952,0.82348,0.000307,0.000307,0.000307
37,710.265,0.62668,0.29582,0.81652,0.99939,0.99969,0.995,0.85097,0.65842,0.26938,0.82397,0.0002872,0.0002872,0.0002872
38,731.088,0.61937,0.29182,0.81756,0.9993,1,0.995,0.85509,0.64128,0.26516,0.82119,0.0002674,0.0002674,0.0002674
39,752.072,0.61258,0.29001,0.81674,0.99935,1,0.995,0.85058,0.6539,0.26587,0.8221,0.0002476,0.0002476,0.0002476
40,772.975,0.60332,0.28662,0.81412,0.99939,1,0.995,0.85573,0.63592,0.26351,0.81934,0.0002278,0.0002278,0.0002278
41,794.518,0.56532,0.25797,0.8175,0.99903,0.99955,0.995,0.85723,0.6313,0.2605,0.81835,0.000208,0.000208,0.000208
42,815.082,0.55348,0.25523,0.81383,0.99927,1,0.995,0.85809,0.62776,0.25839,0.81788,0.0001882,0.0001882,0.0001882
43,835.801,0.54328,0.25248,0.81295,0.99929,1,0.995,0.8584,0.6277,0.26042,0.81681,0.0001684,0.0001684,0.0001684
44,855.904,0.52966,0.24656,0.80836,0.99929,0.99997,0.995,0.85715,0.62491,0.25684,0.81733,0.0001486,0.0001486,0.0001486
45,875.832,0.5266,0.24556,0.81042,0.99935,0.99988,0.995,0.85883,0.6318,0.25945,0.8184,0.0001288,0.0001288,0.0001288
46,896.432,0.52071,0.24299,0.81066,0.99938,0.99987,0.995,0.85714,0.62231,0.25234,0.81736,0.000109,0.000109,0.000109
47,917.219,0.5069,0.23866,0.80666,0.99938,1,0.995,0.86158,0.61516,0.25127,0.81658,8.92e-05,8.92e-05,8.92e-05
