epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1659.7,0.53757,0.25994,0.80789,0.99275,0.98704,0.99478,0.85276,0.63432,0.26368,0.81616,0.000307,0.000307,0.000307
44,1692.18,0.53096,0.25862,0.80231,0.98465,0.99291,0.99458,0.85165,0.64331,0.2687,0.81649,0.0002905,0.0002905,0.0002905
45,1723.87,0.52403,0.2539,0.80237,0.98856,0.9957,0.99492,0.84723,0.64381,0.26503,0.81701,0.000274,0.000274,0.000274
46,1753.42,0.51207,0.24792,0.80148,0.98735,0.98948,0.99484,0.8555,0.63535,0.26128,0.81517,0.0002575,0.0002575,0.0002575
47,1781.47,0.50504,0.24894,0.80004,0.99724,0.98184,0.99474,0.8517,0.6385,0.26925,0.81666,0.000241,0.000241,0.000241
48,1810.57,0.50562,0.24796,0.80087,0.99244,0.98728,0.99473,0.85143,0.63893,0.26245,0.81554,0.0002245,0.0002245,0.0002245
49,1841.41,0.49878,0.24372,0.80226,0.99133,0.99005,0.99481,0.85092,0.63253,0.26226,0.81461,0.000208,0.000208,0.000208
50,1872.32,0.49095,0.24107,0.80306,0.99522,0.98379,0.99355,0.85761,0.61703,0.26015,0.81267,0.0001915,0.0001915,0.0001915
51,1905.21,0.46466,0.22063,0.79725,0.99369,0.98392,0.99435,0.84885,0.63494,0.26279,0.81607,0.000175,0.000175,0.000175
52,1937.85,0.45271,0.21543,0.79718,0.98504,0.99256,0.99469,0.84274,0.65797,0.26592,0.81946,0.0001585,0.0001585,0.0001585
53,1969.5,0.44772,0.21283,0.79187,0.98965,0.99002,0.99473,0.85069,0.63668,0.25851,0.81669,0.000142,0.000142,0.000142
54,2002.08,0.43706,0.20902,0.79232,0.98843,0.98941,0.99471,0.85168,0.64797,0.25885,0.8181,0.0001255,0.0001255,0.0001255
55,2034.22,0.42649,0.20606,0.79147,0.98748,0.99116,0.99472,0.85382,0.63922,0.25491,0.81838,0.000109,0.000109,0.000109
56,2066.45,0.41893,0.20378,0.79038,0.98706,0.98987,0.99461,0.85193,0.64995,0.26467,0.81925,9.25e-05,9.25e-05,9.25e-05
57,2098.98,0.41208,0.19973,0.79042,0.9877,0.9904,0.99469,0.85312,0.64169,0.2598,0.81697,7.6e-05,7.6e-05,7.6e-05
58,2130.57,0.40428,0.19611,0.78597,0.98829,0.9914,0.99468,0.85047,0.64377,0.25702,0.81734,5.95e-05,5.95e-05,5.95e-05
59,2163.16,0.39718,0.19388,0.78505,0.98897,0.98853,0.99459,0.85144,0.65232,0.26125,0.81979,4.3e-05,4.3e-05,4.3e-05
60,2195.55,0.38843,0.19094,0.78555,0.98796,0.99051,0.99456,0.85451,0.64637,0.25815,0.81879,2.65e-05,2.65e-05,2.65e-05
